날짜,종류,분류코드
20200101,신정,1
20200104,토요일,1
20200105,일요일,1
20200111,토요일,1
20200112,일요일,1
20200118,토요일,1
20200119,일요일,1
20200123,설연휴전날,2
20200124,설날연휴,3
20200125,설날연휴,3
20200126,설날연휴,3
20200127,설날연휴,3
20200128,설연휴다음날,2
20200201,토요일,1
20200202,일요일,1
20200208,토요일,1
20200209,일요일,1
20200215,토요일,1
20200216,일요일,1
20200222,토요일,1
20200223,일요일,1
20200229,토요일,1
20200301,일요일,1
20200307,토요일,1
20200308,일요일,1
20200314,토요일,1
20200315,일요일,1
20200321,토요일,1
20200322,일요일,1
20200328,토요일,1
20200329,일요일,1
20200404,토요일,1
20200405,일요일,1
20200411,토요일,1
20200412,일요일,1
20200415,21대국회의원선거,1
20200418,토요일,1
20200419,일요일,1
20200425,토요일,1
20200426,일요일,1
20200430,부처님오신날,1
20200502,토요일,1
20200503,일요일,1
20200505,어린이날,1
20200509,토요일,1
20200510,일요일,1
20200516,토요일,1
20200517,일요일,1
20200523,토요일,1
20200524,일요일,1
20200530,토요일,1
20200531,일요일,1
20200606,토요일,1
20200607,일요일,1
20200613,토요일,1
20200614,일요일,1
20200620,토요일,1
20200621,일요일,1
20200627,토요일,1
20200628,일요일,1
20200704,토요일,1
20200705,일요일,1
20200711,토요일,1
20200712,일요일,1
20200718,토요일,1
20200719,일요일,1
20200725,토요일,1
20200726,일요일,1
20200801,토요일,1
20200802,일요일,1
20200808,토요일,1
20200809,일요일,1
20200815,토요일,1
20200816,일요일,1
20200817,임시공휴일,1
20200822,토요일,1
20200823,일요일,1
20200829,토요일,1
20200830,일요일,1
20200905,토요일,1
20200906,일요일,1
20200912,토요일,1
20200913,일요일,1
20200919,토요일,1
20200920,일요일,1
20200926,토요일,1
20200927,일요일,1
20200929,추석연휴전날,2
20200930,추석연휴,3
20201001,추석연휴,3
20201002,추석연휴,3
20201003,추석연휴,3
20201004,추석연휴,3
20201005,추석연휴다음날,4
20201009,한글날,1
20201010,토요일,1
20201011,일요일,1
20201017,토요일,1
20201018,일요일,1
20201024,토요일,1
20201025,일요일,1
20201031,토요일,1
20201101,일요일,1
20201107,토요일,1
20201108,일요일,1
20201114,토요일,1
20201115,일요일,1
20201121,토요일,1
20201122,일요일,1
20201128,토요일,1
20201129,일요일,1
20201205,토요일,1
20201206,일요일,1
20201212,토요일,1
20201213,일요일,1
20201219,토요일,1
20201220,일요일,1
20201225,성탄절,1
20201226,토요일,1
20201227,일요일,1
